Tempo Max | Perda de Pacote | Oscilação | Tempo de Trajeto Completo
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
235ms | Perda de Pacote:0% | 1.5ms | Trajeto: 235ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 3.0ms | Trajeto: 236ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.2ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.1ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.8ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.1ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
248ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.8ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 1.0ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.8ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.1ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.8ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.7ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.1ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.4ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.0ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.6ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.2ms | Trajeto: 234ms
234ms | Perda de Pacote:0% | 0.3ms | Trajeto: 233ms
234ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 1.2ms | Trajeto: 234ms
233ms | Perda de Pacote:0% | 0.5ms | Trajeto: 233ms
233ms | Perda de Pacote:0% | 0.2ms | Trajeto: 233ms
