Tempo Max | Perda de Pacote | Oscilação | Tempo de Trajeto Completo
162ms | Perda de Pacote:0% | 1.5ms | Trajeto: 140ms
160ms | Perda de Pacote:0% | 0.7ms | Trajeto: 140ms
162ms | Perda de Pacote:0% | 4.5ms | Trajeto: 159ms
161ms | Perda de Pacote:0% | 0.4ms | Trajeto: 140ms
162ms | Perda de Pacote:0% | 0.4ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 3.3ms | Trajeto: 140ms
160ms | Perda de Pacote:0% | 3.6ms | Trajeto: 157ms
161ms | Perda de Pacote:0% | 2.6ms | Trajeto: 158ms
160ms | Perda de Pacote:0% | 2.4ms | Trajeto: 159ms
161ms | Perda de Pacote:0% | 3.5ms | Trajeto: 159ms
160ms | Perda de Pacote:0% | 2.6ms | Trajeto: 159ms
159ms | Perda de Pacote:0% | 0.9ms | Trajeto: 140ms
162ms | Perda de Pacote:0% | 4.4ms | Trajeto: 158ms
157ms | Perda de Pacote:0% | 0.1ms | Trajeto: 157ms
157ms | Perda de Pacote:0% | 0.3ms | Trajeto: 157ms
160ms | Perda de Pacote:0% | 2.9ms | Trajeto: 157ms
162ms | Perda de Pacote:0% | 1.9ms | Trajeto: 140ms
158ms | Perda de Pacote:0% | 2.1ms | Trajeto: 158ms
157ms | Perda de Pacote:0% | 0.1ms | Trajeto: 157ms
157ms | Perda de Pacote:0% | 0.0ms | Trajeto: 157ms
157ms | Perda de Pacote:0% | 2.6ms | Trajeto: 158ms
161ms | Perda de Pacote:0% | 1.1ms | Trajeto: 140ms
158ms | Perda de Pacote:0% | 1.4ms | Trajeto: 157ms
161ms | Perda de Pacote:0% | 3.6ms | Trajeto: 157ms
160ms | Perda de Pacote:0% | 3.4ms | Trajeto: 157ms
161ms | Perda de Pacote:0% | 0.3ms | Trajeto: 161ms
161ms | Perda de Pacote:0% | 4.3ms | Trajeto: 159ms
156ms | Perda de Pacote:0% | 2.1ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 6.9ms | Trajeto: 164ms
158ms | Perda de Pacote:0% | 3.6ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 3.5ms | Trajeto: 157ms
156ms | Perda de Pacote:0% | 2.1ms | Trajeto: 158ms
161ms | Perda de Pacote:0% | 0.4ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 2.0ms | Trajeto: 158ms
162ms | Perda de Pacote:0% | 1.2ms | Trajeto: 140ms
157ms | Perda de Pacote:0% | 0.5ms | Trajeto: 157ms
160ms | Perda de Pacote:0% | 0.2ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 0.5ms | Trajeto: 140ms
157ms | Perda de Pacote:0% | 0.5ms | Trajeto: 157ms
158ms | Perda de Pacote:0% | 0.5ms | Trajeto: 157ms
157ms | Perda de Pacote:0% | 0.2ms | Trajeto: 157ms
157ms | Perda de Pacote:0% | 0.3ms | Trajeto: 157ms
161ms | Perda de Pacote:0% | 0.4ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 2.8ms | Trajeto: 159ms
161ms | Perda de Pacote:0% | 2.1ms | Trajeto: 158ms
161ms | Perda de Pacote:0% | 2.2ms | Trajeto: 159ms
157ms | Perda de Pacote:0% | 3.6ms | Trajeto: 161ms
157ms | Perda de Pacote:0% | 1.7ms | Trajeto: 159ms
157ms | Perda de Pacote:0% | 2.6ms | Trajeto: 159ms
160ms | Perda de Pacote:0% | 1.0ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 0.6ms | Trajeto: 161ms
158ms | Perda de Pacote:0% | 0.2ms | Trajeto: 157ms
160ms | Perda de Pacote:0% | 1.6ms | Trajeto: 158ms
161ms | Perda de Pacote:0% | 0.0ms | Trajeto: 161ms
156ms | Perda de Pacote:0% | 2.8ms | Trajeto: 140ms
157ms | Perda de Pacote:0% | 2.5ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 1.2ms | Trajeto: 161ms
162ms | Perda de Pacote:0% | 0.9ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 0.5ms | Trajeto: 161ms
156ms | Perda de Pacote:0% | 0.4ms | Trajeto: 157ms
161ms | Perda de Pacote:0% | 4.4ms | Trajeto: 158ms
161ms | Perda de Pacote:0% | 4.7ms | Trajeto: 159ms
160ms | Perda de Pacote:0% | 3.4ms | Trajeto: 159ms
162ms | Perda de Pacote:0% | 1.0ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 4.4ms | Trajeto: 159ms
162ms | Perda de Pacote:0% | 0.8ms | Trajeto: 161ms
162ms | Perda de Pacote:0% | 4.4ms | Trajeto: 163ms
161ms | Perda de Pacote:0% | 0.6ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 3.0ms | Trajeto: 159ms
162ms | Perda de Pacote:0% | 0.7ms | Trajeto: 161ms
161ms | Perda de Pacote:0% | 0.3ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 1.0ms | Trajeto: 161ms
160ms | Perda de Pacote:0% | 0.4ms | Trajeto: 157ms
160ms | Perda de Pacote:0% | 2.2ms | Trajeto: 140ms
161ms | Perda de Pacote:0% | 0.1ms | Trajeto: 161ms
162ms | Perda de Pacote:0% | 0.9ms | Trajeto: 161ms
